"tokenID","name","description","file_name","animation_url","external_url","attributes[Primary Background]","attributes[Secondary Background]","attributes[Skin Tone]","attributes[Archetype Base]","attributes[Gender]","attributes[Headwear]","attributes[Eyewear]","attributes[Facial Hair]","attributes[Lip Color]","attributes[Earring Set]","attributes[Neckwear]","attributes[Mouth Accessory]","attributes[Primary Clothing]","attributes[Secondary Clothing]","attributes[Primary Watch]","attributes[Secondary Watch]","attributes[Hand Interaction]","attributes[Mental Activity]","attributes[Tier]"
"32","Legendary Punk #32","A high-end collection of luxury cybernetic punks with metallic assets.","images/32.svg","https://amormesbahi.github.io/luxury-punks-anim/html/32.html","https://amormesbahi.github.io/luxury-punks-anim/html/32.html","Solar Flare #33","Magenta Circuit","Neon Skeleton","Heavy Ape Profile","male","LEGENDARY: Blooming Crystal Flowers","LEGENDARY: Spectral Ghost View (Animated)","Chinstrap","None","Diamond Stud","None","None","Cyber Poncho","Brick Domino Slate","LEGENDARY: Glitch Ghost","Luxury Gold Watch","Thumb Up","Scanning Cyber Laser","Legendary"
"33","Legendary Punk #33","A high-end collection of luxury cybernetic punks with metallic assets.","images/33.svg","https://amormesbahi.github.io/luxury-punks-anim/html/33.html","https://amormesbahi.github.io/luxury-punks-anim/html/33.html","Carbon Fiber #34","Magenta Particles","Neon Skeleton","Heavy Ape Profile","male","Legendary Spiky Hair","LEGENDARY: Aurora Chrome Wraps","Clean Shaven","None","Gold Hoop","Gold Thick Chain","None","Hazard Suit","Flannel Jacket","LEGENDARY: Phantom Link","Retro Digital Steel","Hand Shake","Active Smoker & Blinking","Legendary"
"34","Legendary Punk #34","A high-end collection of luxury cybernetic punks with metallic assets.","images/34.svg","https://amormesbahi.github.io/luxury-punks-anim/html/34.html","https://amormesbahi.github.io/luxury-punks-anim/html/34.html","Platinum #35","Indigo Orbit","Diamond Crystal","Male Profile","male","Floating Orbs","None","Shadow Beard","None","Onyx Spike","Bio-Luminescent Cord","LEGENDARY: God-Mode Omega Mask","Puffer Jacket","Leather Muscle Chrome","LEGENDARY: Wraith Spirit","Royal Octagon","Pointing Hand","Active Smoker & Blinking","Legendary"
"35","Legendary Punk #35","A high-end collection of luxury cybernetic punks with metallic assets.","images/35.svg","https://amormesbahi.github.io/luxury-punks-anim/html/35.html","https://amormesbahi.github.io/luxury-punks-anim/html/35.html","Diamond Dust #36","Magenta Glitch","Pure Gold","Sharp Angular Female","female","Floating Orbs","None","None","Diamond Studded Lips","None","Cyber Sigil Pendant","None","Wavy Ships Arctic","Cyber Poncho","LEGENDARY: Spectre Vision","Luxury Gold Watch","Pointing Hand","Static Punk","Legendary"
"36","Legendary Punk #36","A high-end collection of luxury cybernetic punks with metallic assets.","images/36.svg","https://amormesbahi.github.io/luxury-punks-anim/html/36.html","https://amormesbahi.github.io/luxury-punks-anim/html/36.html","Ruby Red #37","Sky Scanline","Shadow Matter","Male Profile","male","Medusa Cables","LEGENDARY: Aurora Chrome Wraps","Clean Shaven","None","Gold Hoop","Gold Medallion","Amber Rayon Shield","Golden Hoodie","Leather Muscle Neon Cyan","LEGENDARY: Ghost Machine","Random Custom Watch","Thumb Up","Suspicious Squint","Legendary"
"37","Legendary Punk #37","A high-end collection of luxury cybernetic punks with metallic assets.","images/37.svg","https://amormesbahi.github.io/luxury-punks-anim/html/37.html","https://amormesbahi.github.io/luxury-punks-anim/html/37.html","Sapphire Blue #38","Lime Grid","Pure Gold","Male Profile","male","LEGENDARY: Shifting Rainbow Matter","LEGENDARY: Liquid Gold Drip (Animated)","Shadow Beard","None","Neon Ring","Pulsing Obsidian Disc","None","Glass Fiber Void","Glass Fiber White","LEGENDARY: Cyber Soul","Royal Octagon","Hand Shake","Scanning Cyber Laser","Legendary"
"38","Legendary Punk #38","A high-end collection of luxury cybernetic punks with metallic assets.","images/38.svg","https://amormesbahi.github.io/luxury-punks-anim/html/38.html","https://amormesbahi.github.io/luxury-punks-anim/html/38.html","Emerald Green #39","Sky Pulse","Liquid Mercury","Sharp Angular Female","female","Floating Orbs","None","None","Dark Purple Lips","Ruby Tear","Pulsing Carbon Locket","None","Neon Top","Cyber Corset","LEGENDARY: Mech Mind","Retro Digital Steel","Thumb Up","Static Punk","Legendary"
"39","Legendary Punk #39","A high-end collection of luxury cybernetic punks with metallic assets.","images/39.svg","https://amormesbahi.github.io/luxury-punks-anim/html/39.html","https://amormesbahi.github.io/luxury-punks-anim/html/39.html","Gold Dust #40","Cyan Grid","Liquid Mercury","Sharp Angular Female","female","Medusa Cables","None","None","None","None","Neon Silver Coin","Lime Glow Guard","Bio-Suit","Cybernetic Suit","LEGENDARY: Neural Net","Luxury Gold Watch","Thumb Up","Suspicious Squint","Legendary"
"40","Legendary Punk #40","A high-end collection of luxury cybernetic punks with metallic assets.","images/40.svg","https://amormesbahi.github.io/luxury-punks-anim/html/40.html","https://amormesbahi.github.io/luxury-punks-anim/html/40.html","Silver Circuit #41","Violet Pulse","Liquid Mercury","Soft Female Profile","female","LEGENDARY: Ethereal Floating Leafs","None","None","Dark Purple Lips","Onyx Spike","Crimson Velvet Wrap","Platinum Punk Shield","Diamond Dress","Pinstripe Blazer","LEGENDARY: Synapse Flow","Random Custom Watch","Peace Sign","Rapid Eye Twitch","Legendary"
"41","Legendary Punk #41","A high-end collection of luxury cybernetic punks with metallic assets.","images/41.svg","https://amormesbahi.github.io/luxury-punks-anim/html/41.html","https://amormesbahi.github.io/luxury-punks-anim/html/41.html","Quantum Foam #42","Amber Orbit","Shadow Matter","Alien Profile","male","LEGENDARY: Shifting Rainbow Matter","None","Gold Trim Beard","None","Neon Ring","Gold Thick Chain","None","Neon Hoodie","Velvet Suit","LEGENDARY: Cortex Command","Random Custom Watch","Thumb Up","Scanning Cyber Laser","Legendary"
"42","Legendary Punk #42","A high-end collection of luxury cybernetic punks with metallic assets.","images/42.svg","https://amormesbahi.github.io/luxury-punks-anim/html/42.html","https://amormesbahi.github.io/luxury-punks-anim/html/42.html","Void Energy #43","Orange Scanline","Shadow Matter","Male Profile","male","LEGENDARY: Blooming Crystal Flowers","None","Clean Shaven","None","Neon Ring","Neon Quantum Collar","None","Midnight Suit","Tuxedo","LEGENDARY: Binary Beat","Luxury Gold Watch","Pointing Hand","Static Punk","Legendary"
"43","Legendary Punk #43","A high-end collection of luxury cybernetic punks with metallic assets.","images/43.svg","https://amormesbahi.github.io/luxury-punks-anim/html/43.html","https://amormesbahi.github.io/luxury-punks-anim/html/43.html","Star Map #44","Indigo Pulse","Shadow Matter","Soft Female Profile","female","Medusa Cables","LEGENDARY: Galactic Orbit Lens (Animated)","None","Neon Cyan Lips","None","Fur Stole","None","Cyber Poncho","Raincoat","LEGENDARY: Hex Code","Oyster Professional","Hand Shake","Rapid Eye Twitch","Legendary"
"44","Legendary Punk #44","A high-end collection of luxury cybernetic punks with metallic assets.","images/44.svg","https://amormesbahi.github.io/luxury-punks-anim/html/44.html","https://amormesbahi.github.io/luxury-punks-anim/html/44.html","Radar Sweep #45","Orange Matrix","Neon Skeleton","Male Profile","male","Solar Crown","None","Shadow Beard","None","None","None","Amethyst Gem Guard","Velvet Blazer","Glass Fiber Chrome","LEGENDARY: Vector Point","Random Custom Watch","Pointing Hand","Pulsing Iris (Hypnotic)","Legendary"
"45","Legendary Punk #45","A high-end collection of luxury cybernetic punks with metallic assets.","images/45.svg","https://amormesbahi.github.io/luxury-punks-anim/html/45.html","https://amormesbahi.github.io/luxury-punks-anim/html/45.html","Bio Luminescence #46","Slate Particles","Cosmic Galaxy","Sharp Angular Female","female","LEGENDARY: Shifting Rainbow Matter","None","None","None","None","Copper Industrial Link","None","Wavy Ships Arctic","Trench Coat","LEGENDARY: Raster Scan","Oyster Professional","Pointing Hand","Static Punk","Legendary"
"46","Legendary Punk #46","A high-end collection of luxury cybernetic punks with metallic assets.","images/46.svg","https://amormesbahi.github.io/luxury-punks-anim/html/46.html","https://amormesbahi.github.io/luxury-punks-anim/html/46.html","Rust & Iron #47","Magenta Pulse","Neon Skeleton","Soft Female Profile","female","Digital Horns","None","None","Ruby Red Lips","Ruby Tear","Holographic Cyber Blade","Iridescent Crystal Veil","Cybernetic Suit","Tactical Vest","LEGENDARY: Pixel Perfect","Royal Octagon","Thumb Up","Active Smoker & Blinking","Legendary"
"47","Legendary Punk #47","A high-end collection of luxury cybernetic punks with metallic assets.","images/47.svg","https://amormesbahi.github.io/luxury-punks-anim/html/47.html","https://amormesbahi.github.io/luxury-punks-anim/html/47.html","Copper Coil #48","Orange Pulse","Shadow Matter","Male Profile","male","Legendary Spiky Hair","LEGENDARY: Gold Laser Wing Frames","Full Bushy Beard","None","Diamond Chandelier","Onyx Collar","Radiant Sun Breather (Animated)","Camo Hoodie","Pinstripe Suit","LEGENDARY: Resolution","Random Custom Watch","Pointing Hand","Rapid Eye Twitch","Legendary"
"48","Legendary Punk #48","A high-end collection of luxury cybernetic punks with metallic assets.","images/48.svg","https://amormesbahi.github.io/luxury-punks-anim/html/48.html","https://amormesbahi.github.io/luxury-punks-anim/html/48.html","Laser Grid #49","Lime Circuit","Cosmic Galaxy","Male Profile","male","LEGENDARY: Live Bio-Spikes","LEGENDARY: Plasma Storm Shield (Animated)","Clean Shaven","None","Onyx Spike","Animated Ruby Wrap","None","Holographic Tuxedo","Leather Muscle Emerald","LEGENDARY: High Definition","Luxury Gold Watch","Thumb Up","Pulsing Iris (Hypnotic)","Legendary"
"49","Legendary Punk #49","A high-end collection of luxury cybernetic punks with metallic assets.","images/49.svg","https://amormesbahi.github.io/luxury-punks-anim/html/49.html","https://amormesbahi.github.io/luxury-punks-anim/html/49.html","Deep Space #50","Sky Particles","Neon Skeleton","Sharp Angular Female","female","Digital Horns","None","None","None","Diamond Stud","Neon Crystal Scarf","None","Cyber Robe","Trench Coat","LEGENDARY: Ultra Violet","Retro Digital Steel","Thumb Up","Static Punk","Legendary"
"50","Legendary Punk #50","A high-end collection of luxury cybernetic punks with metallic assets.","images/50.svg","https://amormesbahi.github.io/luxury-punks-anim/html/50.html","https://amormesbahi.github.io/luxury-punks-anim/html/50.html","Nebula Cloud #51","Lime Glitch","Cosmic Galaxy","Alien Profile","male","Digital Horns","LEGENDARY: Galactic Orbit Lens (Animated)","Shadow Beard","None","Emerald Stud","Chrome Tech Choker","None","Cyber Suit","Pinstripe Suit","LEGENDARY: Infrared","Luxury Gold Watch","Pointing Hand","Static Punk","Legendary"
"51","Legendary Punk #51","A high-end collection of luxury cybernetic punks with metallic assets.","images/51.svg","https://amormesbahi.github.io/luxury-punks-anim/html/51.html","https://amormesbahi.github.io/luxury-punks-anim/html/51.html","Wormhole #52","Rose Glitch","Cosmic Galaxy","Sharp Angular Female","female","LEGENDARY: Live Bio-Spikes","LEGENDARY: Prism Diamond Monocle","None","None","Gold Hoop","None","Floating Pixel Mask (Animated)","Nerdy Leather Emerald","Business Suit","LEGENDARY: Gamma Ray","Oyster Professional","Thumb Up","Static Punk","Legendary"
